А,1300
Б,1779
В,552
Г,1063
Д,809
Е,110
Ж,424
З,675
И,368
Й,4
К,2450
Л,743
М,1376
Н,500
О,844
П,1887
Р,612
С,1917
Т,1064
У,288
Ф,204
Х,299
Ц,245
Ч,735
Ш,292
Щ,162
Э,238
Ю,148
Я,226
